id hair feathers eggs milk airborne aquatic predator toothed backbone breathes venomous fins legs tail domestic catsize class
aardvark 1 0 0 1 0 0 1 1 1 1 0 0 4 0 0 1 1
antelope 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 1 1
boar 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1 1
calf 1 0 0 1 0 0 0 1 1 1 0 0 4 1 1 1 1
cavy 1 0 0 1 0 0 0 1 1 1 0 0 4 0 1 0 1
dolphin 0 0 0 1 0 1 1 1 1 1 0 1 0 1 0 1 1
fruitbat 1 0 0 1 1 0 0 1 1 1 0 0 2 1 0 0 1
girl 1 0 0 1 0 0 1 1 1 1 0 0 2 0 1 1 1
gorilla 1 0 0 1 0 0 0 1 1 1 0 0 2 0 0 1 1
hamster 1 0 0 1 0 0 0 1 1 1 0 0 4 1 1 0 1
hare 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 0 1
mink 1 0 0 1 0 1 1 1 1 1 0 0 4 1 0 1 1
mole 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 0 1
platypus 1 0 1 1 0 1 1 0 1 1 0 0 4 1 0 1 1
pussycat 1 0 0 1 0 0 1 1 1 1 0 0 4 1 1 1 1
seal 1 0 0 1 0 1 1 1 1 1 0 1 0 0 0 1 1
sealion 1 0 0 1 0 1 1 1 1 1 0 1 2 1 0 1 1
squirrel 1 0 0 1 0 0 0 1 1 1 0 0 2 1 0 0 1
wallaby 1 0 0 1 0 0 0 1 1 1 0 0 2 1 0 1 1
chicken 0 1 1 0 1 0 0 0 1 1 0 0 2 1 1 0 2
crow 0 1 1 0 1 0 1 0 1 1 0 0 2 1 0 0 2
duck 0 1 1 0 1 1 0 0 1 1 0 0 2 1 0 0 2
flamingo 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 1 2
gull 0 1 1 0 1 1 1 0 1 1 0 0 2 1 0 0 2
kiwi 0 1 1 0 0 0 1 0 1 1 0 0 2 1 0 0 2
lark 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 0 2
ostrich 0 1 1 0 0 0 0 0 1 1 0 0 2 1 0 1 2
penguin 0 1 1 0 0 1 1 0 1 1 0 0 2 1 0 1 2
rhea 0 1 1 0 0 0 1 0 1 1 0 0 2 1 0 1 2
swan 0 1 1 0 1 1 0 0 1 1 0 0 2 1 0 1 2
vulture 0 1 1 0 1 0 1 0 1 1 0 0 2 1 0 1 2
pitviper 0 0 1 0 0 0 1 1 1 1 1 0 0 1 0 0 3
seasnake 0 0 0 0 0 1 1 1 1 0 1 0 0 1 0 0 3
slowworm 0 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 3
tortoise 0 0 1 0 0 0 0 0 1 1 0 0 4 1 0 1 3
tuatara 0 0 1 0 0 0 1 1 1 1 0 0 4 1 0 0 3
bass 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0 4
carp 0 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 4
dogfish 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1 4
haddock 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 4
stingray 0 0 1 0 0 1 1 1 1 0 1 1 0 1 0 1 4
frog 0 0 1 0 0 1 1 1 1 1 0 0 4 0 0 0 5
newt 0 0 1 0 0 1 1 1 1 1 0 0 4 1 0 0 5
toad 0 0 1 0 0 1 0 1 1 1 0 0 4 0 0 0 5
flea 0 0 1 0 0 0 0 0 0 1 0 0 6 0 0 0 6
gnat 0 0 1 0 1 0 0 0 0 1 0 0 6 0 0 0 6
honeybee 1 0 1 0 1 0 0 0 0 1 1 0 6 0 1 0 6
housefly 1 0 1 0 1 0 0 0 0 1 0 0 6 0 0 0 6
ladybird 0 0 1 0 1 0 1 0 0 1 0 0 6 0 0 0 6
wasp 1 0 1 0 1 0 0 0 0 1 1 0 6 0 0 0 6
clam 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 7
crab 0 0 1 0 0 1 1 0 0 0 0 0 4 0 0 0 7
crayfish 0 0 1 0 0 1 1 0 0 0 0 0 6 0 0 0 7
octopus 0 0 1 0 0 1 1 0 0 0 0 0 8 0 0 1 7
scorpion 0 0 0 0 0 0 1 0 0 1 1 0 8 1 0 0 7
seawasp 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 7
slug 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 7
starfish 0 0 1 0 0 1 1 0 0 0 0 0 5 0 0 0 7
